import time: self [us] | cumulative | imported package
import time:      6906 |       6906 |                 sqlalchemy.orm.path_registry
import time:      9070 |      15975 |               sqlalchemy.orm.interfaces
import time:     17378 |      66055 |             sqlalchemy.orm.attributes
import time:      8682 |      74736 |           sqlalchemy.orm.util
import time:      6685 |      81420 |         sqlalchemy.orm.exc
import time:      4431 |       4431 |             sqlalchemy.orm.state
import time:      8640 |      13070 |           sqlalchemy.orm.instrumentation
import time:      3435 |       3435 |                 sqlalchemy.future.engine
import time:      3822 |       7257 |               sqlalchemy.future
import time:      9119 |      16376 |             sqlalchemy.orm.context
import time:     14447 |      14447 |                 sqlalchemy.orm.strategy_options
import time:     10192 |      10192 |                 sqlalchemy.orm.descriptor_props
import time:     18019 |      18019 |                 sqlalchemy.orm.relationships
import time:      4941 |      47598 |               sqlalchemy.orm.properties
import time:     32594 |      32594 |               sqlalchemy.orm.query
import time:      4641 |       4641 |               sqlalchemy.orm.unitofwork
import time:      2794 |       2794 |                   sqlalchemy.orm.evaluator
import time:      3138 |       3138 |                     sqlalchemy.orm.sync
import time:      5148 |       8285 |                   sqlalchemy.orm.persistence
import time:      4750 |      15828 |                 sqlalchemy.orm.bulk_persistence
import time:      2839 |       2839 |                 sqlalchemy.orm.identity
import time:      4036 |       4036 |                 sqlalchemy.orm.state_changes
import time:     18721 |      41423 |               sqlalchemy.orm.session
import time:      8251 |     134505 |             sqlalchemy.orm.strategies
import time:      6057 |     156937 |           sqlalchemy.orm.loading
import time:     22148 |     192154 |         sqlalchemy.orm.mapper
import time:      5378 |       5378 |         sqlalchemy.orm._orm_constructors
import time:      5444 |       5444 |           sqlalchemy.orm.clsregistry
import time:      8122 |       8122 |           sqlalchemy.orm.decl_base
import time:      6546 |      20111 |         sqlalchemy.orm.decl_api
import time:      6289 |       6289 |           sqlalchemy.orm.writeonly
import time:      7006 |      13295 |         sqlalchemy.orm.dynamic
import time:      9059 |       9059 |           sqlalchemy.orm.scoping
import time:     36737 |      45796 |         sqlalchemy.orm.events
import time:      5427 |       5427 |         sqlalchemy.orm.dependency
import time:      5945 |     369522 |       sqlalchemy.orm
import time:      2302 |       2302 |             pydantic_settings.exceptions
import time:      6893 |       6893 |                 gettext
import time:      5120 |      12013 |               argparse
import time:      2502 |       2502 |                 pydantic._internal._dataclasses
import time:      3056 |       5558 |               pydantic.dataclasses
import time:      2661 |       2661 |                   pydantic_settings.utils
import time:      3791 |       3791 |                   pydantic_settings.sources.types
import time:     14240 |      14240 |                   pydantic_settings.sources.utils
import time:      5930 |      26621 |                 pydantic_settings.sources.base
import time:      3498 |       3498 |                       pydantic_settings.sources.providers.env
import time:      7079 |      10577 |                     pydantic_settings.sources.providers.aws
import time:      2128 |       2128 |                       pydantic.alias_generators
import time:      2665 |       4793 |                     pydantic_settings.sources.providers.azure
import time:     13384 |      13384 |                     pydantic_settings.sources.providers.cli
import time:      7998 |       7998 |                           dotenv.parser
import time:      3107 |       3107 |                           dotenv.variables
import time:      5694 |      16797 |                         dotenv.main
import time:      3265 |      20062 |                       dotenv
import time:      3105 |      23167 |                     pydantic_settings.sources.providers.dotenv
import time:      6906 |       6906 |                     pydantic_settings.sources.providers.gcp
import time:      2496 |       2496 |                     pydantic_settings.sources.providers.json
import time:      2797 |       2797 |                       pydantic_settings.sources.providers.toml
import time:      2620 |       5417 |                     pydantic_settings.sources.providers.pyproject
import time:      2681 |       2681 |                     pydantic_settings.sources.providers.secrets
import time:      5004 |       5004 |                     pydantic_settings.sources.providers.yaml
import time:      5129 |      79549 |                   pydantic_settings.sources.providers
import time:       324 |      79872 |                 pydantic_settings.sources.providers.aws
import time:      3390 |       3390 |                 pydantic_settings.sources.providers.nested_secrets
import time:      2616 |     112497 |               pydantic_settings.sources
import time:      8030 |     138097 |             pydantic_settings.main
import time:      2080 |       2080 |             pydantic_settings.version
import time:      3306 |     145783 |           pydantic_settings
import time:     23849 |     169632 |         packages.config
D:\agent\Agents\super-agent-self\services\control-core\packages\db\session.py:20: UserWarning: SECRET_KEY is set to the default value. Change it in production!
  settings = get_settings()
import time:     10631 |      10631 |               sqlalchemy.dialects.sqlite.json
import time:     19509 |      30140 |             sqlalchemy.dialects.sqlite.base
import time:      4656 |       4656 |             sqlalchemy.dialects.sqlite.pysqlite
import time:      1883 |       1883 |               sqlalchemy.connectors
import time:      7174 |       9056 |             sqlalchemy.connectors.asyncio
import time:      3974 |      47824 |           sqlalchemy.dialects.sqlite.aiosqlite
import time:      3167 |       3167 |           sqlalchemy.dialects.sqlite.pysqlcipher
import time:      3670 |       3670 |             sqlalchemy.dialects._typing
import time:      7578 |      11248 |           sqlalchemy.dialects.sqlite.dml
import time:      4193 |      66430 |         sqlalchemy.dialects.sqlite
import time:      8398 |       8398 |             _sqlite3
import time:      4049 |      12447 |           sqlite3.dbapi2
import time:      2072 |      14519 |         sqlite3
import time:     24801 |     275381 |       packages.db.session
import time:    334957 |    2522750 |     packages.db.models
import time:    381384 |    2914504 |   packages.agent_core.schemas
import time:      6452 |       6452 |       packages.middleware.prometheus
import time:      4108 |       4108 |       packages.middleware.rate_limiter
import time:      2820 |      13380 |     packages.middleware
import time:       246 |      13625 |   packages.middleware.rate_limiter
import time:      4604 |       4604 |     packages.observability
import time:      4691 |       4691 |         structlog.typing
